PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
122168,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122169,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122170,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122171,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122172,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122173,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122174,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122175,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122176,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122177,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122178,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122179,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122180,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122181,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122182,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122183,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122184,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122185,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122186,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122187,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122188,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122189,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122190,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122191,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122192,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122193,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122194,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122195,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
